Coverage	Frequency	Reads
997	2	3352246
1000	2	3354246
1001	1	3355247
1002	1	3356249
1003	4	3360261
1006	1	3361267
1007	1	3362274
1008	1	3363282
1009	1	3364291
1010	2	3366311
1012	1	3367323
1013	2	3369349
1014	1	3370363
1015	2	3372393
1016	1	3373409
1019	1	3374428
1021	1	3375449
1022	2	3377493
1025	1	3378518
1026	1	3379544
1027	3	3382625
1028	4	3386737
1029	1	3387766
1031	3	3390859
1032	1	3391891
1033	2	3393957
1035	1	3394992
1036	2	3397064
1037	1	3398101
1038	2	3400177
1039	1	3401216
1040	2	3403296
1044	1	3404340
1045	2	3406430
1046	1	3407476
1047	1	3408523
1048	4	3412715
1049	1	3413764
1050	3	3416914
1051	1	3417965
1053	1	3419018
1054	1	3420072
1055	2	3422182
1056	1	3423238
1058	1	3424296
1062	1	3425358
1063	3	3428547
1065	1	3429612
1067	2	3431746
1068	2	3433882
1071	1	3434953
1073	2	3437099
1074	1	3438173
1076	2	3440325
1079	1	3441404
1080	1	3442484
1082	2	3444648
1083	1	3445731
1084	3	3448983
1085	1	3450068
1086	1	3451154
1089	1	3452243
1093	4	3456615
1095	1	3457710
1096	1	3458806
1098	2	3461002
1100	1	3462102
1102	1	3463204
1106	1	3464310
1107	2	3466524
1108	1	3467632
1109	2	3469850
1110	3	3473180
1111	1	3474291
1113	1	3475404
1114	1	3476518
1115	1	3477633
1116	1	3478749
1118	1	3479867
1119	1	3480986
1120	3	3484346
1121	2	3486588
1122	1	3487710
1123	1	3488833
1129	1	3489962
1132	1	3491094
1133	1	3492227
1135	1	3493362
1136	2	3495634
1137	2	3497908
1139	1	3499047
1140	2	3501327
1142	1	3502469
1144	1	3503613
1146	1	3504759
1148	1	3505907
1149	1	3507056
1152	1	3508208
1155	1	3509363
1157	1	3510520
1162	2	3512844
1163	1	3514007
1165	1	3515172
1167	3	3518673
1168	2	3521009
1170	1	3522179
1171	2	3524521
1172	1	3525693
1173	2	3528039
1174	1	3529213
1177	1	3530390
1178	1	3531568
1183	1	3532751
1184	2	3535119
1185	1	3536304
1189	2	3538682
1192	1	3539874
1193	1	3541067
1194	1	3542261
1196	1	3543457
1197	1	3544654
1199	2	3547052
1201	1	3548253
1203	1	3549456
1204	2	3551864
1207	1	3553071
1209	1	3554280
1213	2	3556706
1217	1	3557923
1219	1	3559142
1222	1	3560364
1223	1	3561587
1226	3	3565265
1229	2	3567723
1230	1	3568953
1231	1	3570184
1232	1	3571416
1235	2	3573886
1237	1	3575123
1239	1	3576362
1240	1	3577602
1243	1	3578845
1246	1	3580091
1247	2	3582585
1250	1	3583835
1251	1	3585086
1255	2	3587596
1260	1	3588856
1261	1	3590117
1263	1	3591380
1265	2	3593910
1269	1	3595179
1271	1	3596450
1273	1	3597723
1274	2	3600271
1275	1	3601546
1277	1	3602823
1278	1	3604101
1280	1	3605381
1283	1	3606664
1287	1	3607951
1289	1	3609240
1291	2	3611822
1293	1	3613115
1295	1	3614410
1297	2	3617004
1298	1	3618302
1300	3	3622202
1302	1	3623504
1303	2	3626110
1306	1	3627416
1308	1	3628724
1310	2	3631344
1315	1	3632659
1321	1	3633980
1322	1	3635302
1323	1	3636625
1329	1	3637954
1334	1	3639288
1337	1	3640625
1339	1	3641964
1340	1	3643304
1344	1	3644648
1345	1	3645993
1346	2	3648685
1348	1	3650033
1350	1	3651383
1352	2	3654087
1358	1	3655445
1361	2	3658167
1362	1	3659529
1365	1	3660894
1371	1	3662265
1372	1	3663637
1375	1	3665012
1376	1	3666388
1377	1	3667765
1380	1	3669145
1392	1	3670537
1394	2	3673325
1396	1	3674721
1397	2	3677515
1398	1	3678913
1402	2	3681717
1404	2	3684525
1411	1	3685936
1415	1	3687351
1420	1	3688771
1424	2	3691619
1425	1	3693044
1426	1	3694470
1427	1	3695897
1433	1	3697330
1440	1	3698770
1445	1	3700215
1447	1	3701662
1450	2	3704562
1452	1	3706014
1455	1	3707469
1461	1	3708930
1469	1	3710399
1480	1	3711879
1484	1	3713363
1490	1	3714853
1496	1	3716349
1499	1	3717848
1500	1	3719348
1501	1	3720849
1504	1	3722353
1509	1	3723862
1519	1	3725381
1523	1	3726904
1527	1	3728431
1543	1	3729974
1545	1	3731519
1550	1	3733069
1551	1	3734620
1554	1	3736174
1561	1	3737735
1567	2	3740869
1570	1	3742439
1572	1	3744011
1578	1	3745589
1585	1	3747174
1593	1	3748767
1596	1	3750363
1631	1	3751994
1637	2	3755268
1644	2	3758556
1683	1	3760239
1689	1	3761928
1694	1	3763622
1701	1	3765323
1703	1	3767026
1706	1	3768732
1707	1	3770439
1710	1	3772149
1711	1	3773860
1722	1	3775582
1730	1	3777312
1743	1	3779055
1745	1	3780800
1754	1	3782554
1791	1	3784345
1813	1	3786158
1816	1	3787974
1841	1	3789815
1855	1	3791670
1883	1	3793553
1897	1	3795450
1928	1	3797378
1937	1	3799315
1951	1	3801266
1957	1	3803223
1974	1	3805197
2006	2	3809209
2029	1	3811238
2053	1	3813291
2088	1	3815379
2101	1	3817480
2155	1	3819635
2274	1	3821909
