,age,isoline,replicate,seqrun,simpson,shannon,LactoAcetoRatio,RotAxis1,RotAxis2,OriAxis1,OriAxis2
E36C.fastq.gz,Early,36,C,2,0.987768398597952,4.65248726514461,0.0194848084544254,0.0532531178350127,0.155176541811148,0.114201404531255,0.117786641393264
E36D.fastq.gz,Early,36,D,2,0.984561229303571,4.4849747642391,0.0163354737938216,-0.0535669805924949,0.204942434420631,0.0386951604357601,0.208263072566651
E38A.fastq.gz,Early,38,A,2,0.987027572788521,4.68220056696296,0,-0.179446096768899,0.197479993537819,-0.0784026556189767,0.255053471031433
E38B.fastq.gz,Early,38,B,2,0.991367014670016,4.99629459323017,0,-0.213339270125627,0.21101582561197,-0.103319163874826,0.281720558732662
E38C.fastq.gz,Early,38,C,2,0.987351113002959,4.58885931092189,0,-0.0799571867885022,0.177748658377968,0.00324422276072549,0.194877428895646
E38D.fastq.gz,Early,38,D,2,0.990549901403215,4.8701932365119,3.06475834380459e-05,-0.178829299906499,0.188726386247376,-0.0815678842139605,0.246868887541343
E39A.fastq.gz,Early,39,A,2,0.992341657375989,5.04415952673821,0,-0.00789263249624886,0.331982875399197,0.134069594803021,0.303809589966139
E39B.fastq.gz,Early,39,B,2,0.991032219410107,4.91081204057741,0,-0.00524151870228997,0.343858267093821,0.141520245769653,0.313429420132139
E39C.fastq.gz,Early,39,C,2,0.993209743763434,5.12891460283493,2.21691804054004e-05,0.0242063000302334,0.355131601760756,0.172966458170946,0.311106097462123
E39D.fastq.gz,Early,39,D,2,0.992313686687514,5.01440405002625,0,0.00376866791640577,0.355246702062937,0.154518875896018,0.319903640454885
L23B.fastq.gz,Late,23,B,2,0.989497863434891,4.70789981141259,0.00304399294566714,0.175653076927873,0.0280844807202174,0.170916244635484,-0.0492988723122224
L24C.fastq.gz,Late,24,C,2,0.985340005846642,4.46088102352478,0.0128045404208195,0.131531549247782,0.109822032643122,0.165753194579812,0.0434431328057235
L25A.fastq.gz,Late,25,A,2,0.992985675190917,5.1185745048961,0.00183366077275704,0.190842342617162,0.115381283675225,0.221795557704261,0.0232458800823823
L25B.fastq.gz,Late,25,B,2,0.991930707201257,5.01734061338047,0.00180051302288871,0.194264755336919,0.0953493885353247,0.216372132583301,0.00366077881438682
L25C.fastq.gz,Late,25,C,2,0.987369017791957,4.62998715236018,0.00148813408871368,0.202035393903416,0.0585653273025849,0.207758234450456,-0.0329349961256529
L25D.fastq.gz,Late,25,D,2,0.98877301752809,4.70899120668208,0.00157380437846472,0.172419816191859,0.0452985854734491,0.175312278254311,-0.0323443960341293
L26A.fastq.gz,Late,26,A,2,0.987181559890363,4.62034670037441,0.00348412475414442,0.240116499885964,0.00749812483729383,0.220500534505331,-0.095350247385234
L26B.fastq.gz,Late,26,B,2,0.991052074903643,4.93511375031187,0.00295576129174097,0.188470811598381,0.0789729422044089,0.20416257229576,-0.00869577475283465
L26C.fastq.gz,Late,26,C,2,0.988745272768448,4.72828828768688,0.00308774771582597,0.17618211131948,0.0359806244841488,0.174753746010557,-0.04237770572526
L26D.fastq.gz,Late,26,D,2,0.988995112922581,4.74497197871166,0.00155643729311441,0.149330053387597,0.0822164975186873,0.1701189407961,0.0108886772105768
L27A.fastq.gz,Late,27,A,2,0.991266168153244,4.96083697486315,0.000525523732173996,0.111427152523904,0.0827953632665283,0.136062144143689,0.0275349855464608
L27B.fastq.gz,Late,27,B,2,0.98831242594919,4.61249004546819,0.000234879624192601,0.096147846591741,0.196599223696393,0.170641749917433,0.137029399573119
L27C.fastq.gz,Late,27,C,2,0.987968408224,4.62886499060317,0.00014269915450751,0.10171218333289,0.185430388592249,0.170926818122304,0.124554486464362
L28A.fastq.gz,Late,28,A,2,0.989870432690882,4.79863850158285,0.000157952930026852,0.153286820823661,0.133867925039822,0.195670419191894,0.0559513882398011
L28B.fastq.gz,Late,28,B,2,0.989194613052138,4.74752466501617,6.21156593577241e-05,0.129427141846367,0.150072052613684,0.180969450375947,0.080765488005903
L28C.fastq.gz,Late,28,C,2,0.991054442536142,4.90484916779541,0.000134043765289367,0.153808351000769,0.148741139417072,0.202468903783685,0.0691901611018325
L28D.fastq.gz,Late,28,D,2,0.993400120374024,5.23074747416753,0.00792005068832441,0.277888547600478,0.0271871052640909,0.263060060106875,-0.0935980147049667
L29A.fastq.gz,Late,29,A,2,0.990274122961464,4.86570440573302,0.00135746606334842,0.219344837011321,0.163381764313099,0.268008529846117,0.0545635992517605
L29B.fastq.gz,Late,29,B,2,0.989765270953352,4.77714865469285,0.00280849569949096,0.230883390113697,0.034208203701643,0.223505780911057,-0.0672495868405536
L29C.fastq.gz,Late,29,C,2,0.993216087068401,5.13804447052189,0.00229316998166521,0.201341882567348,0.154198524986702,0.247809236225661,0.0539103072249895
L29D.fastq.gz,Late,29,D,2,0.989574837522801,4.80386704182461,0.000702944036903151,0.207923794044125,0.163991698123804,0.257931657403039,0.0599736716614347
L30A.fastq.gz,Late,30,A,2,0.990718891430167,4.9372659190061,0.00224411395534594,0.144218473652695,0.0974212480588224,0.171960350003096,0.0268236042109241
L30B.fastq.gz,Late,30,B,2,0.991866903507266,5.03238719917639,0.000754310344827586,0.139096145702649,0.0945699150944356,0.166111675560424,0.026421919551949
L30C.fastq.gz,Late,30,C,2,0.990605429665805,4.8318467376071,0.000497107736804049,0.0370774510415058,0.16764770714743,0.104866791793878,0.135953841675714
L30D.fastq.gz,Late,30,D,2,0.991029844172605,4.87564459956799,9.52880080041927e-05,0.105851512095513,0.128073987491114,0.150275824613321,0.0708848744201951
L31A.fastq.gz,Late,31,A,2,0.990823053845371,5.02319723597614,0.0132462995780053,0.175214015058228,0.0223843546051501,0.168094271095484,-0.0542708616919968
L31B.fastq.gz,Late,31,B,2,0.985863773139214,4.50945218747933,0.0049016375425871,0.130890147899602,-0.00972465845829936,0.114322194368475,-0.0644766288982827
L31C.fastq.gz,Late,31,C,2,0.989140804470204,4.83027820686991,0.00821630762443938,0.171862292811406,0.030819057671877,0.168648677930955,-0.0452115631041107
L31D.fastq.gz,Late,31,D,2,0.990586114830755,5.02090180567271,0.0272966440084935,0.197752277971145,0.0346155337862215,0.193694601545776,-0.0527882558350339
L33A.fastq.gz,Late,33,A,2,0.9865468870037,4.54495797491752,0.000753614996938439,0.179822130742546,0.114951812510584,0.211639324415316,0.0275447683832356
L33B.fastq.gz,Late,33,B,2,0.98918845380635,4.79554708901232,0.00323876509917849,0.232900108728154,0.0235380416465925,0.220792286763074,-0.0777641701304324
L33C.fastq.gz,Late,33,C,2,0.988796675009662,4.76424328894245,0.00557404423956631,0.228814475844766,-0.00170327873375772,0.206358015359352,-0.0988702938779369
L33D.fastq.gz,Late,33,D,2,0.986683221282214,4.54061348333783,0.00233519961736488,0.208780403399317,0.0684152392044893,0.218052397666518,-0.0268896573215712
L35B.fastq.gz,Late,35,B,2,0.989224220733636,4.73865887647439,0.0055501474711959,0.19364521668416,0.0411958685857609,0.192776632447261,-0.0450859126056492
L35C.fastq.gz,Late,35,C,2,0.989714569428067,4.79380308698334,0,0.0894543678964743,0.0112128299567143,0.0857278253023816,-0.0279025350160215
L35D.fastq.gz,Late,35,D,2,0.990792540439521,4.8606402437409,0.00568131380381713,0.148119263687603,-0.00330914140563899,0.132643864162878,-0.0659990302363617
L36A.fastq.gz,Late,36,A,2,0.986682332696941,4.60244944301337,0.00304079736464228,0.18945160116543,0.105697634420417,0.216417855642773,0.015073515356456
L36B.fastq.gz,Late,36,B,2,0.988787664495031,4.76604072981987,0.00329280648429585,0.10697867602867,0.0301429183974242,0.109639863514866,-0.0182245159826686
L36C.fastq.gz,Late,36,C,2,0.9895778205064,4.86262140299955,0.00446283674131775,0.179808936833608,0.051022650900656,0.184434402564718,-0.0303070259306
